Date,EW_LogRet
2020-10-20,0.01001601741071928
2020-10-21,-0.006751154411849869
2020-10-22,0.01242500370405258
2020-10-23,0.003975242281049104
2020-10-26,-0.020317744415073877
2020-10-27,-0.023030466319759805
2020-10-28,-0.025846567063712796
2020-10-29,0.012511803560744675
2020-10-30,0.00027505434426145425
2020-11-02,0.023778605792428607
2020-11-03,0.0192216081599699
2020-11-04,-0.009637363536275041
2020-11-05,0.017185150904155604
2020-11-06,-0.010113075533159968
2020-11-09,0.07868746208165188
2020-11-10,0.006251931627091289
2020-11-11,-0.007058234565956609
2020-11-12,-0.018133015946391173
2020-11-13,0.020946290889436746
2020-11-16,0.018977067426811465
2020-11-17,-0.002088416375931432
2020-11-18,-0.014176427045408566
2020-11-19,0.009520971835764102
2020-11-20,-0.006599636210125627
2020-11-23,0.015217101597286698
2020-11-24,0.03029155089927595
2020-11-25,0.00017394954482382552
2020-11-27,-0.003860517262062608
2020-11-30,-0.02296566048218117
2020-12-01,0.015230914007554523
2020-12-02,0.007532709822463941
2020-12-03,0.0011701352794052462
2020-12-04,0.012768349675575387
2020-12-07,-0.01095132398034687
2020-12-08,-0.003672845320323253
2020-12-09,-0.0037497367232504648
2020-12-10,-0.0012208759957073488
2020-12-11,-0.007830893329225276
2020-12-14,-0.010377027859850927
2020-12-15,0.01988584032591008
2020-12-16,-0.0003103583638008149
2020-12-17,0.0038075001332760917
2020-12-18,-0.01727008727729018
2020-12-21,0.011532084327073944
2020-12-22,-0.005710971381750824
2020-12-23,0.009296399612318661
2020-12-24,0.00215468898686147
2020-12-28,0.009422908139740678
2020-12-29,-0.008968010100876373
2020-12-30,0.003920179652371314
2020-12-31,0.014458577118569385
2021-01-04,-0.020211857958876436
2021-01-05,0.007389064929784681
2021-01-06,0.024534498179169213
2021-01-07,0.011980079187806737
2021-01-08,0.005988547413378243
2021-01-11,-0.004612367361476765
2021-01-12,0.009674761383879406
2021-01-13,0.006077171435006334
2021-01-14,0.008709976499052922
2021-01-15,-0.011239502230143049
2021-01-19,-0.004065159467192627
2021-01-20,0.007833825801285037
2021-01-21,-0.0054222116882160915
2021-01-22,0.0006620423226596272
2021-01-25,0.0018236606550390269
2021-01-26,0.003830715947281785
2021-01-27,-0.026458036546085507
2021-01-28,0.01217065727351922
2021-01-29,-0.02044401958638724
2021-02-01,0.014075624288312313
2021-02-02,0.017301459685826383
2021-02-03,0.005342903547157643
2021-02-04,0.016452993508405376
2021-02-05,0.0010333273732829633
2021-02-08,0.011249089835079704
2021-02-09,0.004253844432894215
2021-02-10,0.006443685131387997
2021-02-11,0.000877615544914061
2021-02-12,0.006069662747591793
2021-02-16,0.008468933874716195
2021-02-17,0.00340620538726812
2021-02-18,-0.005558211254141931
2021-02-19,0.009582827517890217
2021-02-22,0.004245645125571769
2021-02-23,0.005135588686418194
2021-02-24,0.017053831483875157
2021-02-25,-0.01708982577057913
2021-02-26,-0.025158474096445088
2021-03-01,0.015803898871212602
2021-03-02,-0.005246397908682369
2021-03-03,0.0033902947760451594
2021-03-04,-0.015816068358271443
2021-03-05,0.007082404200676721
2021-03-08,0.00929864957735225
2021-03-09,0.0010766456224737464
2021-03-10,0.019082768036309265
2021-03-11,0.005478502016113896
2021-03-12,0.014965820246030354
2021-03-15,0.006628828440797172
2021-03-16,-0.004479653411576374
2021-03-17,0.0032800028380087624
2021-03-18,0.003791724605458565
2021-03-19,-0.013513738008298855
2021-03-22,-0.0017848870354211334
2021-03-23,-0.009636348637942577
2021-03-24,-0.002616544486356236
2021-03-25,0.014484918475644957
2021-03-26,0.01802495221166626
2021-03-29,-0.0067507233491852486
2021-03-30,0.005426738392170629
2021-03-31,-0.007786546729121044
2021-04-01,0.014113902318675374
2021-04-05,0.0027132510740956743
2021-04-06,0.002464701056884994
2021-04-07,0.0059718667912099154
2021-04-08,-0.003918056564089265
2021-04-09,0.0053782253614996405
2021-04-12,0.0020063785936495293
2021-04-13,-0.006293824019587157
2021-04-14,0.0040175170456353505
2021-04-15,0.010264708448059422
2021-04-16,0.009661819677394474
2021-04-19,-0.00012094697571281998
2021-04-20,-0.007334757212788064
2021-04-21,0.010227032525183356
2021-04-22,-0.010649432107159965
2021-04-23,0.014922383830516448
2021-04-26,0.006294837909626821
2021-04-27,0.005838367315116762
2021-04-28,-0.0009121000869055833
2021-04-29,0.011556647106844611
2021-04-30,-0.006507963894640386
2021-05-03,0.0009427743446573893
2021-05-04,0.0009246684030136975
2021-05-05,-0.0003040710774322045
2021-05-06,0.013838874059014374
2021-05-07,0.008792941981186802
2021-05-10,-0.0007151934681514963
2021-05-11,-0.01611621668916405
2021-05-12,-0.01831831570278962
2021-05-13,0.012869377258053276
2021-05-14,0.01615551346070843
2021-05-17,0.002080180761512947
2021-05-18,-0.005726133676380649
2021-05-19,-0.005557512357506888
2021-05-20,0.007177070981661971
2021-05-21,0.005777636849147827
2021-05-24,0.011031110766991363
2021-05-25,-0.0020633018763248517
2021-05-26,0.004128351939668218
2021-05-27,0.0034026291495259796
2021-05-28,0.0029106448049221567
2021-06-01,0.016631071844272864
2021-06-02,0.007322696120259452
2021-06-03,-0.0003275413657443561
2021-06-04,0.002142991533729591
2021-06-07,0.0013201104482138543
2021-06-08,-0.002250539323836442
2021-06-09,-0.005288223361181504
2021-06-10,-0.0028551604529579865
2021-06-11,0.0008468884015076807
2021-06-14,-0.004370079873348367
2021-06-15,-0.007762795284287872
2021-06-16,-0.005507987299236074
2021-06-17,-0.016023042972096592
2021-06-18,-0.024876728134573103
2021-06-21,0.025278132008459044
