Date,JPM_Ret,JPM_LogRet,BAC_Ret,BAC_LogRet,WFC_Ret,WFC_LogRet,GS_Ret,GS_LogRet,BLK_Ret,BLK_LogRet,PLD_Ret,PLD_LogRet,AMT_Ret,AMT_LogRet,SPG_Ret,SPG_LogRet,AVB_Ret,AVB_LogRet,O_Ret,O_LogRet
2020-10-20,0.005711422845691372,0.005695174508290636,0.01770657672849918,0.01755164153986076,0.011978704525288375,0.011907527684666418,0.011376343040497838,0.011312119080219516,0.0160342736537038,0.015907082498440354,0.004950495049504955,0.004938281640582577,0.017529215358931705,0.017377350805877018,0.008605851979345935,0.008569032725101367,0.0009627948559247645,0.0009623316662380574,0.0059573065480063025,0.0059396319579160806
2020-10-21,-0.009963136395337302,-0.010013100582436995,-0.0037282518641259532,-0.003735219117615277,-0.0048224462954844505,-0.0048341118089396855,-0.024611834831514745,-0.02491976909075851,-0.015626211108871968,-0.015749587301718344,-0.008499951704819764,-0.008536282313079062,-0.008449548810500418,-0.00848544861586026,-0.003878374185541378,-0.003885914581334745,0.0028856063208517746,0.002881450950854288,0.00981428564037734,0.009766438342389916
2020-10-22,0.03532253195129309,0.03471300324603721,0.03409563409563421,0.03352726126354322,0.02422907488986792,0.023940207546008403,0.012271450396727612,0.012196766514924946,0.0002992173105087481,0.00029917255393703215,0.001461276181198068,0.0014602095561219769,-0.0246959543310995,-0.02500601488511762,0.03332814203395107,0.032784798972259485,0.0034938686031376065,0.0034877792237685617,0.0068703463351322824,0.006846853049042568
2020-10-23,0.009039657853810334,0.008999044715844845,0.0012062726176114147,0.0012055456553484675,0.00129032258064532,0.0012894908298719137,-0.0017526777020449025,-0.001754215438642298,0.00335338014421116,0.0033477701032501644,0.004280155642023331,0.004271021829348368,0.008270772362896084,0.008236756952266663,0.007987942727957886,0.007956207998229754,-0.004710540688148579,-0.0047216702495247505,0.010982338364572852,0.010922470414497905
2020-10-26,-0.024756767170792893,-0.02506836952823083,-0.014457831325301207,-0.014563364187896555,-0.02491408934707917,-0.02522969837588022,-0.019020678891923604,-0.0192038990394814,-0.023724717955155072,-0.024010681062571936,-0.026830685780705132,-0.027197199376190185,-0.0025239777889953796,-0.002527168390737728,-0.03289473684210509,-0.0334479340675399,-0.016530626243226543,-0.016668781692004357,-0.015144499360800534,-0.015260348430205668
2020-10-27,-0.018866060845515564,-0.019046295449658666,-0.028117359413202814,-0.028520221948415032,-0.03876651982378854,-0.03953794408243222,-0.027145271949885585,-0.027520511077472054,-0.012311351837863138,-0.012387764338378536,-0.013237782422613753,-0.013326182881795117,-0.004048582995951455,-0.00405680069561443,-0.041743970315399004,-0.04264028234930404,-0.024410656995396796,-0.02471353622955103,-0.018384037640260864,-0.01855512414497693
2020-10-28,-0.028088190878888475,-0.02849020999491767,-0.015932914046121738,-0.016061207471418225,-0.02933088909257564,-0.029769640231664382,-0.030202371218315593,-0.030667859372974737,-0.022488731225489333,-0.02274545903099774,-0.016441396005648534,-0.01657805574540015,-0.025533536585365835,-0.025865174772793022,-0.019683768957728276,-0.019880074632030047,-0.05125822133257074,-0.05261861574601717,-0.015665374957265943,-0.015789373638914805
2020-10-29,0.006525792417650722,0.006504591619000787,0.0029825308904984915,0.002978091969198496,-0.0018885741265344258,-0.001890359731168784,0.0008958212573113578,0.0008954202489188576,0.002696808776281312,0.002693178912062004,0.02738180699415449,0.027013631082443146,0.006604962412549487,0.006583245223342802,0.04361421988150105,0.04268989998436821,0.025770476979880774,0.025444015075223675,0.012281122402205913,0.012206321224057544
2020-10-30,0.008953380673047295,0.008913536808564262,0.00679694137638065,0.006773946308954864,0.014664143803216678,0.01455766493193443,-0.004738338422659805,-0.004749599936154064,-0.005179884780768029,-0.005193346892185628,-0.0097823916949491,-0.00983055363864364,-0.008633714655730595,-0.008671201090854895,-0.00946222993218726,-0.009507281245650768,0.022037758025416965,0.02179843632940376,-0.011276990758963268,-0.011341058132753778
2020-11-02,0.022541819665442553,0.022291507526766622,0.01603375527426154,0.015906572299534724,0.020979020979021046,0.020761991448429225,0.00613626745662299,0.0061175172326375865,0.02613441030690411,0.025798742366039528,0.026915322580645107,0.026559476311147825,0.01672109732201177,0.016582838867604054,0.030249960197420656,0.02980145260288518,0.04463451448285771,0.04366707733470439,0.0307625642281264,0.030298881934536948
2020-11-03,0.03152119700748135,0.03103460301020518,0.025332225913621498,0.025016682916468077,0.008675799086758085,0.008638380609570763,0.04064143007360688,0.03983728272135395,0.02340332102720888,0.023133662475643878,0.02473741042505151,0.024436394818232027,0.0031693006124458023,0.0031642889654118754,0.004326997372894548,0.0043176628370829055,0.03997523049401397,0.03919689603697716,-0.006538304449840826,-0.006559772791246836
2020-11-04,-0.030557973116719817,-0.03103460301020509,-0.0409072498987445,-0.041767493341283275,-0.009506564056134037,-0.00955203987824539,-0.00030313747284393955,-0.0003031834282951082,0.0355020182436514,0.03488635090389733,0.013602835520643675,0.013511147495863213,0.012124834564317233,0.01205191757032263,-0.04169872288044307,-0.042593064940459856,-0.018656963281508343,-0.01883319988994596,-0.012658663331848174,-0.012739466844398896
2020-11-05,0.04089775561097242,0.04008356733653105,0.039273648648648685,0.038522054387159596,0.020566727605118906,0.02035808829828613,0.025723960175872973,0.025398665886677725,0.02546040515653769,0.025141687503612724,0.0006615631792834531,0.0006613444428300336,0.012021765723204014,0.01195007826561253,0.01910725754656384,0.018927006352581092,-0.0006067552079822569,-0.0006069393584167215,-0.008547306361523566,-0.008584044073318114
