Date,Close,High,Low,Open,Volume
10/26/20,3400.969971,3441.419922,3364.860107,3441.419922,4002210000
10/27/20,3390.679932,3409.51001,3388.709961,3403.149902,3962400000
10/28/20,3271.030029,3342.47998,3268.889893,3342.47998,5139970000
10/29/20,3310.110107,3341.050049,3259.820068,3277.169922,4911860000
10/30/20,3269.959961,3304.929932,3233.939941,3293.590088,4843930000
11/2/20,3310.23999,3330.139893,3279.73999,3296.199951,4314690000
11/3/20,3369.159912,3389.48999,3336.25,3336.25,4241380000
11/4/20,3443.439941,3486.25,3405.169922,3406.459961,4790400000
11/5/20,3510.449951,3529.050049,3485.73999,3485.73999,4858150000
11/6/20,3509.439941,3521.580078,3484.340088,3508.340088,4842460000
11/9/20,3550.5,3645.98999,3547.47998,3583.040039,8570510000
11/10/20,3545.530029,3557.219971,3511.909912,3543.26001,6037470000
11/11/20,3572.659912,3581.159912,3557,3563.219971,4635560000
11/12/20,3537.01001,3569.02002,3518.580078,3562.669922,4909660000
11/13/20,3585.149902,3593.659912,3552.570068,3552.570068,4719580000
11/16/20,3626.909912,3628.51001,3600.159912,3600.159912,5295510000
11/17/20,3609.530029,3623.110107,3588.679932,3610.310059,4812180000
11/18/20,3567.790039,3619.090088,3567.330078,3612.090088,5284810000
11/19/20,3581.870117,3585.219971,3543.840088,3559.409912,4363370000
11/20/20,3557.540039,3581.22998,3556.850098,3579.310059,4236370000
11/23/20,3577.590088,3589.810059,3552.77002,3566.820068,5057550000
11/24/20,3635.409912,3642.310059,3594.52002,3594.52002,6280290000
11/25/20,3629.649902,3635.5,3617.76001,3635.5,4910440000
11/27/20,3638.350098,3644.310059,3629.330078,3638.550049,2778390000
11/30/20,3621.629883,3634.179932,3594.389893,3634.179932,6308410000
12/1/20,3662.449951,3678.449951,3645.870117,3645.870117,5418480000
12/2/20,3669.01001,3670.959961,3644.840088,3653.780029,5041250000
12/3/20,3666.719971,3682.72998,3657.169922,3668.280029,5065340000
12/4/20,3699.120117,3699.199951,3670.939941,3670.939941,5099620000
12/7/20,3691.959961,3697.409912,3678.879883,3694.72998,4804500000
12/8/20,3702.25,3708.449951,3678.830078,3683.050049,4584390000
12/9/20,3672.820068,3712.389893,3660.540039,3705.97998,5232800000
12/10/20,3668.100098,3678.48999,3645.179932,3659.129883,4658480000
12/11/20,3663.459961,3665.909912,3633.399902,3656.080078,4375470000
12/14/20,3647.48999,3697.610107,3645.840088,3675.27002,4623850000
12/15/20,3694.620117,3695.290039,3659.620117,3666.409912,4387080000
12/16/20,3701.169922,3711.27002,3688.570068,3696.25,4067040000
12/17/20,3722.47998,3725.120117,3710.870117,3713.649902,4192810000
12/18/20,3709.409912,3726.699951,3685.840088,3722.389893,7097100000
12/21/20,3694.919922,3702.899902,3636.47998,3684.280029,4748580000
12/22/20,3687.26001,3698.26001,3676.159912,3698.080078,4053310000
12/23/20,3690.01001,3711.23999,3689.280029,3693.419922,3779160000
12/24/20,3703.060059,3703.820068,3689.320068,3694.030029,1883780000
12/28/20,3735.360107,3740.51001,3723.030029,3723.030029,3535460000
12/29/20,3727.040039,3756.120117,3723.310059,3750.01001,3393290000
12/30/20,3732.040039,3744.629883,3730.209961,3736.189941,3154850000
12/31/20,3756.070068,3760.199951,3726.879883,3733.27002,3179040000
1/4/21,3700.649902,3769.98999,3662.709961,3764.610107,5015000000
1/5/21,3726.860107,3737.830078,3695.070068,3698.02002,4591020000
1/6/21,3748.139893,3783.040039,3705.340088,3712.199951,6064110000
1/7/21,3803.790039,3811.550049,3764.709961,3764.709961,5099160000
1/8/21,3824.679932,3826.689941,3783.600098,3815.050049,4773040000
1/11/21,3799.610107,3817.860107,3789.02002,3803.139893,4465430000
1/12/21,3801.189941,3810.780029,3776.51001,3801.620117,4994950000
1/13/21,3809.840088,3820.959961,3791.5,3802.22998,4602510000
1/14/21,3795.540039,3823.600098,3792.860107,3814.97998,5198480000
1/15/21,3768.25,3788.72998,3749.620117,3788.72998,5369820000
1/19/21,3798.909912,3804.530029,3780.370117,3781.879883,5014440000
1/20/21,3851.850098,3859.75,3816.219971,3816.219971,4566190000
1/21/21,3853.070068,3861.449951,3845.050049,3857.459961,4501760000
1/22/21,3841.469971,3852.310059,3830.409912,3844.23999,5110890000
1/25/21,3855.360107,3859.22998,3797.159912,3851.679932,7000840000
1/26/21,3849.620117,3870.899902,3847.780029,3862.959961,6137500000
1/27/21,3750.77002,3836.830078,3732.47998,3836.830078,9976520000
1/28/21,3787.379883,3830.5,3755.75,3755.75,6992770000
1/29/21,3714.23999,3778.050049,3694.120117,3778.050049,6643370000
2/1/21,3773.860107,3784.320068,3725.620117,3731.169922,5436230000
2/2/21,3826.310059,3843.090088,3791.840088,3791.840088,5514090000
2/3/21,3830.169922,3847.51001,3816.679932,3840.27002,4864870000
2/4/21,3871.73999,3872.419922,3836.659912,3836.659912,4879240000
